📺党教服务网直播线路,#genre#
//20个台
CCTV1,http://123.6.9.146/live/jz-cctv-1/live.m3u8 

CCTV3,http://123.6.9.146/live/jz-cctv-3/live.m3u8 

CCTV5,http://123.6.9.146/live/jz-cctv-5/live.m3u8 

CCTV6,http://123.6.9.146/live/jz-cctv-6/live.m3u8 

CCTV7,http://123.6.9.146/live/jz-cctv-7/live.m3u8 

CCTV9,http://123.6.9.146/live/jz-cctv-9/live.m3u8 

CCTV10,http://123.6.9.146/live/jz-cctv-10/live.m3u8 

CCTV11,http://123.6.9.146/live/jz-cctv-11/live.m3u8 

CCTV12,http://123.6.9.146/live/jz-cctv-12/live.m3u8 

CCTV13,http://123.6.9.146/live/jz-cctv-13/live.m3u8 

CCTV14,http://123.6.9.146/live/jz-cctv-14/live.m3u8 

湖南卫视,http://120.196.232.43:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226698/1.m3u8

浙江卫视,http://123.6.9.146/live/jz-zhejiangweishi/live.m3u8 

北京卫视,http://123.6.9.146/live/jz-beijingweishi/live.m3u8 

河南卫视,http://123.6.9.146/live/jz-hnweishi/live.m3u8 

上海卫视,http://123.6.9.146/live/jz-hunanweishi-gq/live.m3u8

河南民生,http://123.6.9.146/live/jz-henanminsheng/live.m3u8 

河南都市,http://123.6.9.146/live/jz-henandushi/live.m3u8 

河南梨园,http://123.6.9.146/live/jz-henanliyuan/live.m3u8 

远程党员教育,http://123.6.9.146/live/jz-m-ycjy/live.m3u8
